Datetime,Clear Sky Surface Shortwave Downward Irradiance,All Sky Surface Shortwave Downward Irradiance,Temperature at 2 Meters (C),Wind Speed at 10 Meters (m/s),Relative Humidity at 2 Meters (%),Hour,Month,DayOfYear,Hour_Sin,Hour_Cos,Month_Sin,Month_Cos,Cloud_Effect,Lag_24h,Lag_48h,Rolling_Mean_24h,Fitted_SARIMAX,Residuals,Scaled_Residuals
2024-11-18 18:00:00,0.0,0.0,0.26191622532498793,0.26796657381615596,0.806556931029792,18,11,323,-1.0,-1.8369701987210294e-16,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-3.941352011349286,3.941352011349286,0.548732898578212
2024-11-18 19:00:00,0.0,0.0,0.25180548868560415,0.2573816155988857,0.8151271935791049,19,11,323,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-0.46166471513673457,0.46166471513673457,0.5415627320573861
2024-11-18 20:00:00,0.0,0.0,0.2460279248916707,0.24568245125348184,0.8236974561284178,20,11,323,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-1.0657542825329784,1.0657542825329784,0.5428075056312758
2024-11-18 21:00:00,0.0,0.0,0.2397688974482427,0.23286908077994425,0.8343082573799483,21,11,323,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-0.8377514345177133,0.8377514345177133,0.5423376880159769
2024-11-18 22:00:00,0.0,0.0,0.2335098700048147,0.22339832869080778,0.8423343762753366,22,11,323,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-1.3310563503198445,1.3310563503198445,0.5433541811921578
2024-11-18 23:00:00,0.0,0.0,0.2267693789118922,0.21782729805013926,0.8496803156033192,23,11,323,-0.2588190451025215,0.965925826289068,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-1.6782264233109707,1.6782264233109707,0.5440695521500893
2024-11-19 00:00:00,0.0,0.0,0.2205103514684642,0.21225626740947073,0.8562100394504149,0,11,324,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-1.4535272329004059,1.4535272329004059,0.5436065419784305
2024-11-19 01:00:00,0.0,0.0,0.21280693307655285,0.20612813370473534,0.8635559787783975,1,11,324,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-1.7199169860295953,1.7199169860295953,0.5441554587996221
2024-11-19 02:00:00,0.0,0.0,0.20606644198363033,0.20445682451253477,0.8676370561828322,2,11,324,0.4999999999999999,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-2.0099359708504707,2.0099359708504707,0.5447530654919333
2024-11-19 03:00:00,0.0,0.0,0.20077034183919118,0.21002785515320332,0.8669568766154265,3,11,324,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-2.551238612891865,2.551238612891865,0.5458684617190092
2024-11-19 04:00:00,0.0,0.0,0.19788155994222423,0.2194986072423398,0.8639640865188409,4,11,324,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,193.87916666666663,-2.533385799572887,2.533385799572887,0.5458316746075634
2024-11-19 05:00:00,0.0,0.0,0.19643716899374108,0.23119777158774368,0.858930757720038,5,11,324,0.9659258262890684,0.2588190451025207,-0.5000000000000004,0.8660254037844384,0.0,2.5,2.8,193.775,-2.714521473044627,2.714521473044627,0.5462049187617344
2024-11-19 06:00:00,0.10387590716963076,78.45,0.22291766971593663,0.26350974930362114,0.8304992518024759,6,11,324,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,25.75,75.43,83.22,193.9008333333333,79.99028908854501,-1.5402890885450091,0.5374375504196502
2024-11-19 07:00:00,0.2992363824866417,200.07,0.27780452575830517,0.3164345403899721,0.7688749829955106,7,11,324,0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384,100.10000000000002,231.1,243.2,192.60791666666668,230.78700073945421,-30.71700073945422,0.47731666504732306
2024-11-19 08:00:00,0.504176967860276,373.25,0.3230621088107847,0.3448467966573816,0.7147326894300094,8,11,324,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,132.5,400.08,403.27,191.49,355.6405514345016,17.609448565498383,0.5768970754060105
